Rank,Claps/Art,# Articles,Author,Url
37,775,14,The Crypto Lifestyle,https://medium.com/@thecryptolifestyle
38,748,15,XP.network,https://blog.xp.network/@xpnetwork
39,733,36,Chainge Finance,https://medium.com/@chainge-finance
40,710,14,Bassey Saviour,https://medium.com/@basseysaviour
41,685,16,Nworuprecious,https://medium.com/@nworuprecious56
42,657,9,Cirus Foundation,https://medium.com/@cirusfoundation
43,600,18,Shyft Network,https://medium.com/@shyftnetwork
44,576,29,Pinknode,https://medium.com/@pinknode
45,549,10,META Coin,https://medium.com/@META1.COIN
46,533,57,Lukas Moore,https://medium.com/@lukasmoore1
47,525,19,BLOCK.CO,https://medium.com/@blockdotco
48,525,60,The Sandbox,https://medium.com/@sandboxgame
49,518,11,Tom Handy,https://medium.com/@tomhandy1
50,505,3,HiFi Gaming Society,https://medium.com/@hifigamingsociety
51,499,11,Rainbow,https://medium.com/@tinannajiobianuju
52,496,6,Max Unger,https://blog.originprotocol.com/@Max_Origin
53,484,4,Openware,https://medium.com/@openware
54,472,49,Frederick Irwin,https://medium.com/@frederickirwin
55,459,23,Flux Official,https://medium.com/@fluxofficial
56,459,36,DFINITY,https://medium.com/@dfinity
57,457,10,Demodyfi,https://medium.com/@demodyfi
58,419,9,Sushi,https://medium.com/@sushichef
59,398,29,Adria Parcerisas Alb s,https://medium.com/@annaparcerisas
60,374,16,Alexandre Lores,https://medium.datadriveninvestor.com/@alexandre-lores1984
61,363,43,Omer KEMAN,https://medium.com/@omerkeman
62,362,8,Decubate.com,https://medium.com/@decubate
63,353,8,Ambrosus,https://blog.ambrosus.io/@ambrosusecosystem
64,352,4,Wharf Street Strategies,https://medium.com/@wharfstreetstrategies
65,349,8,Ethernity Chain,https://medium.com/@ethernitychain
66,344,18,Aniel Essien,https://medium.com/@anieljoshua94
67,335,14,Michael Burgess,https://medium.com/@RenOps
68,331,15,JAUME PUIG GINESTA,https://medium.com/@jpginestaa
69,329,15,LockTrip.comLOC Token) Official Blog,https://medium.com/@locktrip
70,319,8,Kurisu,https://medium.com/@99kurisu
71,319,87,COTI,https://medium.com/@cotinetwork
72,317,79,Seascape Network,https://medium.com/@seascapenetwork
73,312,5,POP!,https://medium.com/@poptownplatform
74,312,12,MatrixETF,https://medium.com/@matrixetf
75,305,13,Richard Knight,https://medium.datadriveninvestor.com/@altcoininvestor
76,298,44,Panther Protocol,https://blog.pantherprotocol.io/@panther-protocol
77,291,13,REVV,https://medium.com/@revv-token
78,289,15,Polkally,https://medium.com/@polkally
79,288,5,DeFIRE,https://medium.com/@DeFire1
80,287,15,Horizen,https://medium.com/@Horizen
81,282,33,Tom Holland,https://medium.com/@tom-holland
82,281,13,Balanced,https://medium.com/@balanceddao
83,276,22,GAMEE,https://medium.com/@gamee
84,276,4,Citrus-tech,https://medium.com/@citrus-tech
85,269,16,EmiSwap,https://medium.com/@emiswap
86,269,12,Polkacity,https://medium.com/@polkacity
87,263,32,Star Atlas,https://medium.com/@staratlasgame
88,261,49,SINOVATE,https://medium.com/@sinovate
89,258,33,Blockchain.com,https://medium.com/@blockchain
90,247,25,NFT Stars,https://medium.com/@nft-stars
91,246,10,Verasity,https://medium.com/@VRATech
92,244,23,Xion Finance,https://medium.com/@xionglobal
93,240,8,Step Finance,https://medium.com/@stepfinance
94,238,19,PlayDapp Team,https://medium.com/@playdapp
95,233,11,Jew Coin,https://medium.com/@jewcoin
96,230,64,Apron Network,https://medium.com/@apron-network
97,228,24,My Neighbor Alice,https://medium.com/@myneighboralice
98,223,17,GAUGECASH,https://medium.com/@gaugecash
99,223,6,Constellation Marketing,https://medium.com/@Constellation_Marketing
100,220,15,PlutosNetwork,https://medium.com/@plutosnetwork
